,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,8.952395915985107,5.302956581115723,5.27232813835144,0.7042999863624573,Aleks
1,FNN,128,1,15000,7.0756518840789795,2.7586402893066406,1.9101924896240234,0.8722000122070312,Aleks
2,CNN,128,1,15000,6.851031303405762,5.3248114585876465,5.273296356201172,0.9279999732971191,Aleks
3,RNN,128,1,15600,7.307582855224609,5.368022441864014,5.292336463928223,0.7773000001907349,Aleks
4,FNN,128,1,15600,4.616434574127197,1.7193467617034912,1.9249529838562012,0.8930000066757202,Aleks
5,CNN,128,1,15600,6.484403848648071,3.770379066467285,2.1294896602630615,0.9301999807357788,Aleks
6,RNN,128,1,16200,8.656453847885132,2.981157064437866,3.1547811031341553,0.7979999780654907,Aleks
7,FNN,128,1,16200,4.750092029571533,2.64725661277771,1.5671944618225098,0.8661999702453613,Aleks
8,CNN,128,1,16200,6.261885404586792,3.864891529083252,1.9991600513458252,0.9302999973297119,Aleks
9,RNN,128,1,16800,9.731536626815796,2.83786678314209,2.750016450881958,0.7348999977111816,Aleks
10,FNN,128,1,16800,4.789242506027222,2.7687788009643555,1.8571407794952393,0.8855000138282776,Aleks
11,CNN,128,1,16800,6.90203070640564,3.500133514404297,2.30711030960083,0.9322999715805054,Aleks
12,RNN,128,1,17400,9.294801235198975,2.355597734451294,2.7780284881591797,0.7681999802589417,Aleks
13,FNN,128,1,17400,3.8032796382904053,3.3808281421661377,1.1432793140411377,0.8824999928474426,Aleks
14,CNN,128,1,17400,7.1076860427856445,5.321784973144531,1.9817605018615723,0.9384999871253967,Aleks
15,RNN,128,1,18000,8.30370283126831,2.7418408393859863,2.8321340084075928,0.7148000001907349,Aleks
16,FNN,128,1,18000,4.740447521209717,2.735926628112793,1.4968090057373047,0.8964999914169312,Aleks
17,CNN,128,1,18000,6.890470027923584,5.339553356170654,2.3839774131774902,0.9423999786376953,Aleks
18,RNN,128,1,18600,9.882849931716919,3.1501471996307373,2.9612720012664795,0.7584999799728394,Aleks
19,FNN,128,1,18600,4.865003347396851,2.8358280658721924,1.838491439819336,0.8892999887466431,Aleks
20,CNN,128,1,18600,7.747308731079102,5.085742712020874,2.6563291549682617,0.9430999755859375,Aleks
21,RNN,128,1,19200,9.201395273208618,5.288279056549072,5.304560422897339,0.7689999938011169,Aleks
22,FNN,128,1,19200,6.744191408157349,2.751174211502075,1.9509155750274658,0.8955000042915344,Aleks
23,CNN,128,1,19200,7.297702789306641,5.306278467178345,2.7010135650634766,0.944100022315979,Aleks
24,RNN,128,1,19800,8.746384859085083,3.264979362487793,3.13885760307312,0.7718999981880188,Aleks
25,FNN,128,1,19800,7.3450706005096436,2.918095827102661,1.7795515060424805,0.8924000263214111,Aleks
