,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,5.980387449264526,1.944833755493164,2.6406307220458984,0.6854000091552734,CPU
1,FNN,128,1,15000,6.4873504638671875,3.61130690574646,1.8807756900787354,0.8770999908447266,CPU
2,CNN,128,1,15000,11.686774730682373,11.023208618164062,2.212437391281128,0.9294999837875366,CPU
3,RNN,128,1,18000,5.651517868041992,2.5356438159942627,2.6338939666748047,0.6682999730110168,CPU
4,FNN,128,1,18000,5.617067098617554,4.9152491092681885,2.607150077819824,0.8920999765396118,CPU
5,CNN,128,1,18000,12.899198532104492,20.59146475791931,2.6024386882781982,0.9415000081062317,CPU
6,RNN,128,1,21000,8.024791479110718,2.792206048965454,2.6349165439605713,0.7827000021934509,CPU
7,FNN,128,1,21000,6.486905813217163,5.288465738296509,2.634768486022949,0.8992000222206116,CPU
8,CNN,128,1,21000,15.018467664718628,12.924680471420288,2.156421661376953,0.9391000270843506,CPU
9,RNN,128,1,24000,7.6657395362854,2.9384827613830566,1.5942473411560059,0.7692999839782715,CPU
10,FNN,128,1,24000,8.531143188476562,10.361016035079956,1.3133528232574463,0.8888999819755554,CPU
11,CNN,128,1,24000,16.145000219345093,20.606462478637695,2.139967679977417,0.9503999948501587,CPU
12,RNN,128,1,27000,7.089568376541138,5.263062000274658,2.10756516456604,0.701200008392334,CPU
13,FNN,128,1,27000,9.1746084690094,10.396479368209839,2.604079484939575,0.9034000039100647,CPU
14,CNN,128,1,27000,22.54428482055664,16.61987543106079,2.648287057876587,0.9532999992370605,CPU
15,RNN,128,1,30000,9.704787015914917,5.2718236446380615,2.642662286758423,0.8033000230789185,CPU
16,FNN,128,1,30000,8.600694417953491,7.4853596687316895,2.6161720752716064,0.8944000005722046,CPU
17,CNN,128,1,30000,21.949832916259766,20.627220392227173,2.150587797164917,0.9599000215530396,CPU
18,RNN,128,1,33000,7.609097480773926,10.448391914367676,1.7398662567138672,0.8335999846458435,CPU
19,FNN,128,1,33000,10.52985143661499,9.200038433074951,1.300995111465454,0.909600019454956,CPU
20,CNN,128,1,33000,21.131202459335327,20.63549828529358,3.1363346576690674,0.9628000259399414,CPU
21,RNN,128,1,36000,9.463903903961182,10.41422176361084,1.5710482597351074,0.7820000052452087,CPU
22,FNN,128,1,36000,11.661098957061768,9.85408091545105,1.4068608283996582,0.9057000279426575,CPU
23,CNN,128,1,36000,22.729540824890137,41.820934772491455,2.6106679439544678,0.9646000266075134,CPU
24,RNN,128,1,39000,10.408575057983398,5.519288063049316,1.6836838722229004,0.8675000071525574,CPU
25,FNN,128,1,39000,12.29529595375061,9.299278974533081,2.636651039123535,0.916100025177002,CPU
26,CNN,128,1,39000,26.205003261566162,41.14384746551514,3.5388684272766113,0.9663000106811523,CPU
27,RNN,128,1,42000,13.247147798538208,10.428104400634766,1.5872373580932617,0.8700000047683716,CPU
28,FNN,128,1,42000,21.949334621429443,10.315758466720581,1.2831120491027832,0.9090999960899353,CPU
29,CNN,128,1,42000,26.964590549468994,41.152995586395264,2.603604316711426,0.9686999917030334,CPU
30,RNN,128,1,45000,11.304463148117065,12.025896549224854,2.807185173034668,0.8755999803543091,CPU
31,FNN,128,1,45000,22.200745820999146,20.7055983543396,1.322927713394165,0.9129999876022339,CPU
32,CNN,128,1,45000,29.485811233520508,27.88560938835144,2.6033880710601807,0.9704999923706055,CPU
33,RNN,128,1,48000,14.3502197265625,10.475837230682373,2.6222329139709473,0.8870999813079834,CPU
34,FNN,128,1,48000,14.421526432037354,20.780285835266113,2.609269380569458,0.9146999716758728,CPU
35,CNN,128,1,48000,31.28968334197998,41.18438506126404,3.4422390460968018,0.9711999893188477,CPU
36,RNN,128,1,51000,10.8285391330719,10.463731288909912,1.6140844821929932,0.8755000233650208,CPU
37,FNN,128,1,51000,21.944249868392944,13.188770055770874,2.1221911907196045,0.9052000045776367,CPU
38,CNN,128,1,51000,42.65762376785278,41.181291818618774,2.160975217819214,0.9692000150680542,CPU
39,RNN,128,1,54000,13.263931035995483,8.326223850250244,1.5763237476348877,0.8913999795913696,CPU
40,FNN,128,1,54000,21.974912643432617,14.024677038192749,1.3306317329406738,0.9138000011444092,CPU
41,CNN,128,1,54000,42.49009871482849,41.2072970867157,2.16819429397583,0.9728000164031982,CPU
42,RNN,128,1,57000,11.519549131393433,8.791893720626831,1.622340440750122,0.9016000032424927,CPU
43,FNN,128,1,57000,17.176486015319824,15.0070321559906,2.6137776374816895,0.9185000061988831,CPU
44,CNN,128,1,57000,36.76926875114441,41.206339597702026,2.154980182647705,0.9714000225067139,CPU
45,RNN,128,1,60000,13.377716302871704,10.484708786010742,1.675905466079712,0.8877999782562256,CPU
46,FNN,128,1,60000,16.81206202507019,15.706565618515015,1.3285818099975586,0.9164000153541565,CPU
47,CNN,128,1,60000,43.0998375415802,41.20914840698242,2.161181926727295,0.9731000065803528,CPU
48,RNN,128,1,15000,5.260344743728638,2.1187918186187744,2.3555245399475098,0.6851999759674072,CPU
49,FNN,128,1,15000,6.445281267166138,3.9434151649475098,2.6044700145721436,0.890500009059906,CPU
50,CNN,128,1,15000,11.35569977760315,9.908142328262329,2.1445586681365967,0.9363999962806702,CPU
51,RNN,128,1,18000,7.904272556304932,3.01627516746521,2.605319023132324,0.7228999733924866,CPU
52,FNN,128,1,18000,5.825225591659546,10.409097909927368,1.33467435836792,0.8885999917984009,CPU
53,CNN,128,1,18000,21.834757089614868,20.598568201065063,2.1016669273376465,0.9415000081062317,CPU
54,RNN,128,1,21000,6.063868522644043,4.3436503410339355,1.5858566761016846,0.7670000195503235,CPU
55,FNN,128,1,21000,6.367009162902832,6.411498308181763,1.3324651718139648,0.9038000106811523,CPU
56,CNN,128,1,21000,23.16041922569275,20.600221395492554,2.6063992977142334,0.9459999799728394,CPU
57,RNN,128,1,24000,8.448642253875732,4.07262396812439,2.6100046634674072,0.7430999875068665,CPU
58,FNN,128,1,24000,11.66130518913269,10.372144937515259,2.609529495239258,0.9075999855995178,CPU
59,CNN,128,1,24000,16.604021549224854,20.655604600906372,2.338808536529541,0.955299973487854,CPU
60,RNN,128,1,27000,8.10750675201416,3.568150281906128,1.611030101776123,0.8575000166893005,CPU
61,FNN,128,1,27000,9.359623670578003,6.284416437149048,1.3221604824066162,0.9053999781608582,CPU
62,CNN,128,1,27000,22.444221019744873,18.488375663757324,2.1329569816589355,0.9527999758720398,CPU
63,RNN,128,1,30000,7.093799352645874,5.31673526763916,2.618396282196045,0.7940000295639038,CPU
64,FNN,128,1,30000,11.67044448852539,7.842296361923218,1.3288629055023193,0.8899999856948853,CPU
65,CNN,128,1,30000,20.03599500656128,20.632274389266968,2.1980531215667725,0.9624000191688538,CPU
66,RNN,128,1,33000,8.020982503890991,4.103053331375122,2.6265110969543457,0.8165000081062317,CPU
67,FNN,128,1,33000,11.648141384124756,9.133908987045288,1.295912265777588,0.8912000060081482,CPU
68,CNN,128,1,33000,21.968567848205566,20.637407541275024,3.3654134273529053,0.9606999754905701,CPU
69,RNN,128,1,36000,13.45295786857605,5.338397264480591,2.607255697250366,0.8240000009536743,CPU
70,FNN,128,1,36000,13.099274158477783,9.92710256576538,2.6069605350494385,0.910099983215332,CPU
71,CNN,128,1,36000,42.47298336029053,41.20643591880798,2.2033989429473877,0.9639999866485596,CPU
72,RNN,128,1,39000,9.330122709274292,6.946966171264648,1.841998815536499,0.7645999789237976,CPU
73,FNN,128,1,39000,12.376344919204712,20.65633487701416,1.323232889175415,0.9057999849319458,CPU
74,CNN,128,1,39000,25.713139057159424,41.143402338027954,2.162261486053467,0.9700000286102295,CPU
75,RNN,128,1,42000,10.5858895778656,10.433433294296265,2.6068384647369385,0.8508999943733215,CPU
76,FNN,128,1,42000,21.953821182250977,10.52383828163147,1.317694902420044,0.9132999777793884,CPU
77,CNN,128,1,42000,42.817384243011475,41.14873433113098,2.606313705444336,0.9690999984741211,CPU
78,RNN,128,1,45000,10.707378625869751,7.507955074310303,1.6632709503173828,0.7675999999046326,CPU
79,FNN,128,1,45000,13.565828084945679,20.675382375717163,1.3499736785888672,0.9128000140190125,CPU
80,CNN,128,1,45000,42.991549015045166,41.15011477470398,2.1712124347686768,0.9692000150680542,CPU
81,RNN,128,1,48000,11.02759051322937,7.782923221588135,2.6089494228363037,0.883400022983551,CPU
82,FNN,128,1,48000,21.942644119262695,11.49079442024231,2.192861795425415,0.9168000221252441,CPU
83,CNN,128,1,48000,33.514166831970215,41.17471647262573,2.6372783184051514,0.9696999788284302,CPU
84,RNN,128,1,51000,13.618213891983032,10.522319555282593,2.6159451007843018,0.8256999850273132,CPU
85,FNN,128,1,51000,22.113244771957397,13.22550344467163,1.3590376377105713,0.9143999814987183,CPU
86,CNN,128,1,51000,42.43313503265381,41.174880027770996,5.196636915206909,0.972000002861023,CPU
87,RNN,128,1,54000,14.452526569366455,10.486268997192383,2.6418261528015137,0.891700029373169,CPU
