,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,4.164231777191162,0.8991780281066895,1.2058351039886475,0.7540000081062317,Dani_Macbook
1,FNN,128,1,15000,2.707695245742798,1.417248010635376,0.5847759246826172,0.8830000162124634,Dani_Macbook
2,CNN,128,1,15000,6.063326835632324,4.39125394821167,1.187263011932373,0.9333999752998352,Dani_Macbook
3,RNN,128,1,15600,3.730743169784546,0.9209573268890381,1.0934703350067139,0.7088000178337097,Dani_Macbook
4,FNN,128,1,15600,2.5982279777526855,1.4516181945800781,0.5711429119110107,0.879800021648407,Dani_Macbook
5,CNN,128,1,15600,5.249959945678711,4.0975141525268555,0.7983298301696777,0.935699999332428,Dani_Macbook
6,RNN,128,1,16200,3.4898879528045654,1.3260128498077393,1.449051856994629,0.7401000261306763,Dani_Macbook
7,FNN,128,1,16200,2.591366767883301,1.514023780822754,0.5960569381713867,0.8896999955177307,Dani_Macbook
8,CNN,128,1,16200,5.1899402141571045,3.9712541103363037,0.740440845489502,0.9348999857902527,Dani_Macbook
9,RNN,128,1,16800,4.15959095954895,1.4466018676757812,1.728238821029663,0.7616999745368958,Dani_Macbook
10,FNN,128,1,16800,3.4719130992889404,1.5832858085632324,0.6450889110565186,0.8833000063896179,Dani_Macbook
11,CNN,128,1,16800,5.961816072463989,4.834712028503418,0.8035860061645508,0.9416999816894531,Dani_Macbook
12,RNN,128,1,17400,3.699164867401123,1.0192041397094727,1.1171820163726807,0.8098999857902527,Dani_Macbook
13,FNN,128,1,17400,2.884984016418457,1.6844019889831543,0.5906310081481934,0.8884000182151794,Dani_Macbook
14,CNN,128,1,17400,5.9442138671875,4.92731499671936,0.8220431804656982,0.9376000165939331,Dani_Macbook
15,RNN,128,1,18000,3.6963210105895996,1.1499121189117432,1.129134178161621,0.7793999910354614,Dani_Macbook
16,FNN,128,1,18000,3.5427730083465576,2.260100841522217,1.4218418598175049,0.8895000219345093,Dani_Macbook
17,CNN,128,1,18000,8.194664001464844,5.85549521446228,1.170517921447754,0.9417999982833862,Dani_Macbook
18,RNN,128,1,18600,4.6763927936553955,1.151120901107788,1.359023094177246,0.7710999846458435,Dani_Macbook
19,FNN,128,1,18600,3.0532541275024414,2.206538200378418,0.7578880786895752,0.8960999846458435,Dani_Macbook
20,CNN,128,1,18600,7.703136920928955,5.473387956619263,0.8875899314880371,0.945900022983551,Dani_Macbook
21,RNN,128,1,19200,4.082151889801025,1.3752970695495605,1.4006540775299072,0.7631999850273132,Dani_Macbook
22,FNN,128,1,19200,3.4003641605377197,1.9437808990478516,0.8054630756378174,0.8921999931335449,Dani_Macbook
23,CNN,128,1,19200,7.291416168212891,5.200691223144531,0.9522511959075928,0.9348000288009644,Dani_Macbook
24,RNN,128,1,19800,4.250375032424927,1.1811671257019043,1.1323938369750977,0.6992999911308289,Dani_Macbook
25,FNN,128,1,19800,2.934683084487915,1.8125228881835938,0.6418213844299316,0.902999997138977,Dani_Macbook
26,CNN,128,1,19800,6.989061117172241,5.6192100048065186,0.9572710990905762,0.9422000050544739,Dani_Macbook
27,RNN,128,1,20400,4.0979979038238525,1.2117109298706055,1.16436767578125,0.6883000135421753,Dani_Macbook
28,FNN,128,1,20400,3.50976300239563,1.9170730113983154,0.6638190746307373,0.9000999927520752,Dani_Macbook
29,CNN,128,1,20400,7.7669899463653564,5.97064995765686,0.8747971057891846,0.9427000284194946,Dani_Macbook
30,RNN,128,1,21000,4.268455266952515,1.278724193572998,1.1372649669647217,0.7599999904632568,Dani_Macbook
31,FNN,128,1,21000,3.1953530311584473,2.046396255493164,0.6717698574066162,0.8867999911308289,Dani_Macbook
32,CNN,128,1,21000,7.541043996810913,6.080760955810547,0.8751370906829834,0.9513999819755554,Dani_Macbook
33,RNN,128,1,21600,4.879146099090576,1.6466310024261475,1.52164626121521,0.7911999821662903,Dani_Macbook
34,FNN,128,1,21600,3.844179153442383,2.227872133255005,0.8527970314025879,0.894599974155426,Dani_Macbook
35,CNN,128,1,21600,8.042330265045166,6.267446041107178,1.0813119411468506,0.9502999782562256,Dani_Macbook
36,RNN,128,1,22200,4.252135992050171,1.184128999710083,1.084414005279541,0.7386999726295471,Dani_Macbook
37,FNN,128,1,22200,3.3985090255737305,1.9873120784759521,0.6104550361633301,0.8884000182151794,Dani_Macbook
38,CNN,128,1,22200,7.7591822147369385,6.375056266784668,1.078082799911499,0.9513999819755554,Dani_Macbook
39,RNN,128,1,22800,5.077362060546875,1.5804109573364258,1.4164090156555176,0.722100019454956,Dani_Macbook
40,FNN,128,1,22800,3.6468307971954346,2.328258991241455,0.8482587337493896,0.8970000147819519,Dani_Macbook
41,CNN,128,1,22800,8.098111867904663,6.492632627487183,1.0769660472869873,0.947700023651123,Dani_Macbook
42,RNN,128,1,23400,4.071855306625366,1.2642741203308105,1.1082570552825928,0.7860999703407288,Dani_Macbook
43,FNN,128,1,23400,3.0602567195892334,2.188246965408325,0.617272138595581,0.9021999835968018,Dani_Macbook
44,CNN,128,1,23400,8.155026197433472,7.079967975616455,0.9506998062133789,0.9466000199317932,Dani_Macbook
45,RNN,128,1,24000,4.634848117828369,1.4609410762786865,1.2538132667541504,0.8339999914169312,Dani_Macbook
46,FNN,128,1,24000,3.5719969272613525,2.387187957763672,0.8063371181488037,0.8982999920845032,Dani_Macbook
47,CNN,128,1,24000,8.682907819747925,7.382169008255005,0.9927921295166016,0.9495999813079834,Dani_Macbook
48,RNN,128,1,24600,4.729801177978516,1.6767058372497559,1.3406648635864258,0.8398000001907349,Dani_Macbook
49,FNN,128,1,24600,3.8119430541992188,2.4922499656677246,0.7510159015655518,0.89410001039505,Dani_Macbook
50,CNN,128,1,24600,9.183607816696167,7.599776983261108,1.0260241031646729,0.95169997215271,Dani_Macbook
51,RNN,128,1,25200,5.144708871841431,1.7909939289093018,1.4721739292144775,0.8274000287055969,Dani_Macbook
52,FNN,128,1,25200,4.067507982254028,2.9624078273773193,0.803685188293457,0.8960999846458435,Dani_Macbook
53,CNN,128,1,25200,11.20858097076416,9.372684955596924,1.182197093963623,0.955299973487854,Dani_Macbook
54,RNN,128,1,25800,6.392694711685181,2.9252748489379883,1.8032751083374023,0.8511000275611877,Dani_Macbook
55,FNN,128,1,25800,5.1632750034332275,3.2316830158233643,0.9622290134429932,0.9068999886512756,Dani_Macbook
56,CNN,128,1,25800,11.2740159034729,9.49113392829895,1.1710312366485596,0.953499972820282,Dani_Macbook
57,RNN,128,1,26400,6.199199914932251,2.0175459384918213,1.6077549457550049,0.7943999767303467,Dani_Macbook
58,FNN,128,1,26400,4.516708135604858,2.9735069274902344,0.834291934967041,0.8995000123977661,Dani_Macbook
59,CNN,128,1,26400,11.201239824295044,10.285928964614868,1.0355572700500488,0.9567000269889832,Dani_Macbook
60,RNN,128,1,27000,7.960816860198975,3.019454002380371,1.982532024383545,0.8485000133514404,Dani_Macbook
61,FNN,128,1,27000,7.449859857559204,4.356244325637817,2.370276927947998,0.909600019454956,Dani_Macbook
62,CNN,128,1,27000,18.262118101119995,17.149784803390503,1.9501292705535889,0.9610000252723694,Dani_Macbook
63,RNN,128,1,27600,11.305161952972412,3.681320905685425,3.1308209896087646,0.842199981212616,Dani_Macbook
64,FNN,128,1,27600,7.360513925552368,4.475852012634277,1.2772281169891357,0.8986999988555908,Dani_Macbook
65,CNN,128,1,27600,15.537670850753784,13.18873405456543,1.4877631664276123,0.9575999975204468,Dani_Macbook
66,RNN,128,1,28200,7.553493976593018,2.469774007797241,2.0394272804260254,0.8209999799728394,Dani_Macbook
67,FNN,128,1,28200,5.632123947143555,3.7165589332580566,0.9354510307312012,0.9088000059127808,Dani_Macbook
68,CNN,128,1,28200,13.071448802947998,11.336019039154053,1.3195719718933105,0.9593999981880188,Dani_Macbook
69,RNN,128,1,28800,7.04737114906311,2.5654728412628174,1.9538421630859375,0.7861999869346619,Dani_Macbook
70,FNN,128,1,28800,5.802643775939941,3.9274280071258545,0.9823720455169678,0.9060999751091003,Dani_Macbook
71,CNN,128,1,28800,13.72531509399414,12.820460081100464,1.17576003074646,0.9570000171661377,Dani_Macbook
72,RNN,128,1,29400,8.871896982192993,2.676598072052002,2.058789014816284,0.8508999943733215,Dani_Macbook
73,FNN,128,1,29400,6.125802040100098,4.064184904098511,1.1248769760131836,0.9082000255584717,Dani_Macbook
74,CNN,128,1,29400,14.469463109970093,12.954246044158936,1.2762041091918945,0.955299973487854,Dani_Macbook
75,RNN,128,1,30000,7.98895525932312,3.1075379848480225,2.2881662845611572,0.7724000215530396,Dani_Macbook
76,FNN,128,1,30000,7.229000806808472,4.779759168624878,1.2864131927490234,0.9104999899864197,Dani_Macbook
77,CNN,128,1,30000,16.5092351436615,15.715464115142822,1.553602933883667,0.9617999792098999,Dani_Macbook
78,RNN,128,1,30600,9.40741491317749,3.488929033279419,2.4552199840545654,0.824400007724762,Dani_Macbook
79,FNN,128,1,30600,6.95832085609436,4.8327460289001465,1.1710829734802246,0.9007999897003174,Dani_Macbook
80,CNN,128,1,30600,16.89592170715332,14.524680137634277,1.3754267692565918,0.9559999704360962,Dani_Macbook
81,RNN,128,1,31200,8.735008001327515,4.056097030639648,2.5332868099212646,0.835099995136261,Dani_Macbook
82,FNN,128,1,31200,9.29575800895691,5.89483904838562,1.5423128604888916,0.9067999720573425,Dani_Macbook
83,CNN,128,1,31200,20.792302131652832,18.782429218292236,1.9137020111083984,0.9635999798774719,Dani_Macbook
84,RNN,128,1,31800,10.675211906433105,3.6082420349121094,2.495615005493164,0.7480000257492065,Dani_Macbook
85,FNN,128,1,31800,7.267548322677612,4.907308101654053,1.1647610664367676,0.8974000215530396,Dani_Macbook
86,CNN,128,1,31800,16.893548011779785,14.728302955627441,1.5565872192382812,0.9589999914169312,Dani_Macbook
87,RNN,128,1,32400,8.400298357009888,3.1658859252929688,2.2745797634124756,0.8271999955177307,Dani_Macbook
88,FNN,128,1,32400,7.995628833770752,4.720167875289917,1.1493098735809326,0.9093999862670898,Dani_Macbook
89,CNN,128,1,32400,16.407049894332886,14.671572923660278,1.3662512302398682,0.9610000252723694,Dani_Macbook
90,RNN,128,1,33000,8.386237859725952,3.506992816925049,2.300251007080078,0.8008000254631042,Dani_Macbook
91,FNN,128,1,33000,6.979912042617798,4.820539236068726,1.1187160015106201,0.9090999960899353,Dani_Macbook
92,CNN,128,1,33000,16.799118041992188,15.497945070266724,1.513542890548706,0.9599999785423279,Dani_Macbook
93,RNN,128,1,33600,9.075105905532837,3.482182264328003,2.269455671310425,0.8180000185966492,Dani_Macbook
94,FNN,128,1,33600,7.452632665634155,4.964621067047119,1.1510899066925049,0.9077000021934509,Dani_Macbook
95,CNN,128,1,33600,17.159033060073853,16.06803607940674,1.3762052059173584,0.9628999829292297,Dani_Macbook
96,RNN,128,1,34200,9.335594177246094,3.559757709503174,2.439673900604248,0.858299970626831,Dani_Macbook
97,FNN,128,1,34200,7.484721899032593,5.258384943008423,1.1508491039276123,0.8913000226020813,Dani_Macbook
98,CNN,128,1,34200,18.289546966552734,16.49745202064514,1.5392119884490967,0.9639999866485596,Dani_Macbook
99,RNN,128,1,34800,9.05553412437439,3.5181660652160645,2.4473071098327637,0.8654000163078308,Dani_Macbook
100,FNN,128,1,34800,7.431642770767212,5.283089876174927,1.1398429870605469,0.9053000211715698,Dani_Macbook
101,CNN,128,1,34800,18.286423921585083,16.285857915878296,1.3758430480957031,0.9653000235557556,Dani_Macbook
102,RNN,128,1,35400,9.250952959060669,3.4995529651641846,2.2539100646972656,0.8398000001907349,Dani_Macbook
103,FNN,128,1,35400,7.69999885559082,5.349186897277832,1.2012107372283936,0.9054999947547913,Dani_Macbook
104,CNN,128,1,35400,18.667049884796143,16.397462129592896,1.4097568988800049,0.9642999768257141,Dani_Macbook
105,RNN,128,1,36000,8.926286220550537,3.6626060009002686,2.343722105026245,0.8672999739646912,Dani_Macbook
106,FNN,128,1,36000,8.752822875976562,5.2508227825164795,1.2258667945861816,0.9110999703407288,Dani_Macbook
107,CNN,128,1,36000,18.10943365097046,16.96820569038391,1.3970310688018799,0.9639000296592712,Dani_Macbook
108,RNN,128,1,36600,10.211468935012817,4.00823974609375,2.6735270023345947,0.8097000122070312,Dani_Macbook
109,FNN,128,1,36600,7.64726185798645,5.585377216339111,1.1445729732513428,0.9063000082969666,Dani_Macbook
110,CNN,128,1,36600,19.29348087310791,16.973088026046753,1.4075016975402832,0.9645000100135803,Dani_Macbook
111,RNN,128,1,37200,9.225219011306763,3.698451042175293,2.2586710453033447,0.8496999740600586,Dani_Macbook
112,FNN,128,1,37200,7.4055938720703125,5.424684762954712,1.0689079761505127,0.9160000085830688,Dani_Macbook
113,CNN,128,1,37200,18.645271062850952,17.033495664596558,1.3138649463653564,0.9664000272750854,Dani_Macbook
114,RNN,128,1,37800,9.666358947753906,4.378942012786865,2.3407859802246094,0.8489999771118164,Dani_Macbook
115,FNN,128,1,37800,8.228274822235107,6.304114103317261,1.3598361015319824,0.9114000201225281,Dani_Macbook
116,CNN,128,1,37800,23.889806032180786,22.517596006393433,1.829049825668335,0.9672999978065491,Dani_Macbook
