,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,3.7518227100372314,1.419180154800415,1.275385856628418,0.656000018119812,Dani
1,FNN,128,1,15000,2.380638360977173,1.3977389335632324,1.0266051292419434,0.8640999794006348,Dani
2,CNN,128,1,15000,2.944751024246216,2.130159378051758,0.9890666007995605,0.9348000288009644,Dani
3,RNN,128,1,15600,3.2460532188415527,1.190558671951294,1.2916908264160156,0.6425999999046326,Dani
4,FNN,128,1,15600,2.351144790649414,1.3627092838287354,0.7647643089294434,0.8569999933242798,Dani
5,CNN,128,1,15600,3.1613433361053467,2.113241195678711,0.8600912094116211,0.9406999945640564,Dani
6,RNN,128,1,16200,4.490084171295166,1.216855764389038,1.3681926727294922,0.7653999924659729,Dani
7,FNN,128,1,16200,2.507719039916992,1.5124986171722412,0.7014460563659668,0.8751000165939331,Dani
8,CNN,128,1,16200,3.31992244720459,2.1793761253356934,1.0227115154266357,0.935699999332428,Dani
9,RNN,128,1,16800,3.614520311355591,1.2249634265899658,1.2759017944335938,0.6470000147819519,Dani
10,FNN,128,1,16800,2.4107418060302734,1.196648120880127,0.6331968307495117,0.8831999897956848,Dani
11,CNN,128,1,16800,3.3960092067718506,2.2675211429595947,0.9042315483093262,0.9434000253677368,Dani
12,RNN,128,1,17400,4.5123131275177,1.4349045753479004,1.2836015224456787,0.6980999708175659,Dani
13,FNN,128,1,17400,2.4968011379241943,1.5082180500030518,0.7015402317047119,0.8898000121116638,Dani
14,CNN,128,1,17400,3.398399591445923,2.419919490814209,1.4969942569732666,0.9401000142097473,Dani
15,RNN,128,1,18000,3.7197799682617188,1.4052035808563232,1.4204776287078857,0.7394000291824341,Dani
16,FNN,128,1,18000,2.4529099464416504,1.5136668682098389,0.9149291515350342,0.8838000297546387,Dani
17,CNN,128,1,18000,3.4042139053344727,2.5237619876861572,0.8486859798431396,0.9405999779701233,Dani
18,RNN,128,1,18600,3.9300742149353027,1.2995831966400146,1.9169666767120361,0.7364000082015991,Dani
19,FNN,128,1,18600,2.607661724090576,1.4604668617248535,0.9234006404876709,0.8866999745368958,Dani
20,CNN,128,1,18600,4.283529281616211,5.624834299087524,1.2826898097991943,0.9437000155448914,Dani
21,RNN,128,1,19200,4.492935419082642,1.662609577178955,1.3966751098632812,0.7494999766349792,Dani
22,FNN,128,1,19200,3.1338632106781006,1.9809999465942383,1.1524393558502197,0.8795999884605408,Dani
23,CNN,128,1,19200,5.826781511306763,3.4821865558624268,1.4641804695129395,0.9452000260353088,Dani
24,RNN,128,1,19800,4.914679288864136,1.5626580715179443,1.4564526081085205,0.776199996471405,Dani
25,FNN,128,1,19800,2.7332327365875244,1.581791877746582,0.7141256332397461,0.8938000202178955,Dani
26,CNN,128,1,19800,3.7565290927886963,2.7572953701019287,1.0999486446380615,0.9506000280380249,Dani
27,RNN,128,1,20400,4.685587644577026,1.5992605686187744,1.2361488342285156,0.8476999998092651,Dani
28,FNN,128,1,20400,2.789308547973633,1.7195723056793213,0.8782727718353271,0.9004999995231628,Dani
29,CNN,128,1,20400,3.805669069290161,2.6890392303466797,1.3071925640106201,0.9452000260353088,Dani
30,RNN,128,1,21000,4.062548637390137,1.520472526550293,1.2379450798034668,0.836899995803833,Dani
31,FNN,128,1,21000,2.979933261871338,1.7680606842041016,0.8024868965148926,0.8949000239372253,Dani
32,CNN,128,1,21000,3.8347420692443848,2.846430540084839,0.9574885368347168,0.9491999745368958,Dani
33,RNN,128,1,21600,3.979445695877075,1.6850357055664062,1.5423552989959717,0.7836999893188477,Dani
34,FNN,128,1,21600,3.1016759872436523,1.7318572998046875,0.6659619808197021,0.8953999876976013,Dani
