,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,4.530527591705322,0.989478588104248,1.5520660877227783,0.6165000200271606,Oliver
1,FNN,128,1,15000,2.7341363430023193,1.0171091556549072,0.7122430801391602,0.8784999847412109,Oliver
2,CNN,128,1,15000,2.6871750354766846,1.1146488189697266,0.7856106758117676,0.9375,Oliver
3,RNN,128,1,15600,3.7860536575317383,0.8651280403137207,1.5303831100463867,0.6956999897956848,Oliver
4,FNN,128,1,15600,2.3729135990142822,1.0606272220611572,0.7132618427276611,0.8906000256538391,Oliver
5,CNN,128,1,15600,2.467676877975464,1.2756562232971191,0.8649630546569824,0.9386000037193298,Oliver
6,RNN,128,1,16200,4.510415077209473,1.12420654296875,1.6080479621887207,0.7447999715805054,Oliver
7,FNN,128,1,16200,2.422006368637085,1.1368317604064941,0.7185723781585693,0.8919000029563904,Oliver
8,CNN,128,1,16200,2.3737170696258545,1.3031725883483887,0.8816032409667969,0.9429000020027161,Oliver
9,RNN,128,1,16800,4.6002161502838135,1.0436508655548096,1.7796695232391357,0.667900025844574,Oliver
10,FNN,128,1,16800,2.5586721897125244,1.1062989234924316,0.6655838489532471,0.8777999877929688,Oliver
11,CNN,128,1,16800,2.4806253910064697,1.2924144268035889,0.7796738147735596,0.939300000667572,Oliver
12,RNN,128,1,17400,3.8910317420959473,1.0663723945617676,1.4567923545837402,0.7864000201225281,Oliver
13,FNN,128,1,17400,2.2144346237182617,1.2166261672973633,0.8749353885650635,0.8849999904632568,Oliver
14,CNN,128,1,17400,2.672991991043091,1.4102025032043457,0.8127126693725586,0.935699999332428,Oliver
15,RNN,128,1,18000,4.116852045059204,1.0221271514892578,1.5126841068267822,0.7865999937057495,Oliver
16,FNN,128,1,18000,2.425257682800293,1.1066055297851562,0.841688871383667,0.8912000060081482,Oliver
17,CNN,128,1,18000,3.0201425552368164,1.3174519538879395,0.8376531600952148,0.9447000026702881,Oliver
18,RNN,128,1,18600,4.136312007904053,1.082606554031372,1.6637356281280518,0.8137000203132629,Oliver
19,FNN,128,1,18600,2.9861674308776855,1.161780595779419,0.6480979919433594,0.885699987411499,Oliver
20,CNN,128,1,18600,3.0157885551452637,1.3982086181640625,0.7827019691467285,0.9404000043869019,Oliver
21,RNN,128,1,19200,4.317184686660767,1.3335702419281006,1.496424913406372,0.7597000002861023,Oliver
22,FNN,128,1,19200,2.589913845062256,1.185687780380249,0.7177088260650635,0.8968999981880188,Oliver
23,CNN,128,1,19200,2.4662797451019287,1.344141960144043,0.7494537830352783,0.9440000057220459,Oliver
24,RNN,128,1,19800,4.4770448207855225,1.0725126266479492,1.6360058784484863,0.6769000291824341,Oliver
25,FNN,128,1,19800,2.667717695236206,1.2340483665466309,0.6951086521148682,0.9003999829292297,Oliver
26,CNN,128,1,19800,2.7972803115844727,1.5691676139831543,0.8193309307098389,0.9437000155448914,Oliver
27,RNN,128,1,20400,4.353644609451294,1.371567964553833,1.584123134613037,0.6412000060081482,Oliver
28,FNN,128,1,20400,2.4553723335266113,1.3045578002929688,0.701662540435791,0.866599977016449,Oliver
29,CNN,128,1,20400,2.856887102127075,1.5911240577697754,0.7309460639953613,0.9492999911308289,Oliver
30,RNN,128,1,21000,4.664734840393066,1.1102042198181152,1.3232755661010742,0.7904999852180481,Oliver
31,FNN,128,1,21000,2.601898670196533,1.3343546390533447,0.7166821956634521,0.8931000232696533,Oliver
32,CNN,128,1,21000,3.031198740005493,1.5833408832550049,0.7612488269805908,0.9513999819755554,Oliver
33,RNN,128,1,21600,3.698093891143799,1.1912624835968018,1.4384949207305908,0.7893999814987183,Oliver
34,FNN,128,1,21600,2.7459638118743896,1.3817124366760254,0.6845676898956299,0.8858000040054321,Oliver
35,CNN,128,1,21600,2.6047704219818115,1.5774364471435547,0.7488360404968262,0.9506999850273132,Oliver
36,RNN,128,1,22200,4.260161876678467,1.2099025249481201,1.4700415134429932,0.8392000198364258,Oliver
37,FNN,128,1,22200,2.598287343978882,1.3595759868621826,0.6530814170837402,0.8986999988555908,Oliver
38,CNN,128,1,22200,2.6798689365386963,1.6295230388641357,0.8579869270324707,0.9531000256538391,Oliver
39,RNN,128,1,22800,4.366067171096802,1.2255282402038574,1.5473620891571045,0.7925000190734863,Oliver
