,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,26.37026023864746,0.8905477523803711,5.234994649887085,0.7282999753952026,T4 GPU
1,FNN,128,1,15000,6.552668571472168,0.6010730266571045,1.337512731552124,0.8770999908447266,T4 GPU
2,CNN,128,1,15000,11.673902034759521,0.7612326145172119,1.3548219203948975,0.9301999807357788,T4 GPU
3,RNN,128,1,15600,8.965519189834595,1.2160754203796387,2.70935320854187,0.7935000061988831,T4 GPU
4,FNN,128,1,15600,6.59757924079895,0.7789294719696045,1.344193696975708,0.8960999846458435,T4 GPU
5,CNN,128,1,15600,6.147675275802612,0.7686276435852051,0.977802038192749,0.9351999759674072,T4 GPU
6,RNN,128,1,16200,8.935634136199951,0.7298016548156738,2.0192530155181885,0.745199978351593,T4 GPU
7,FNN,128,1,16200,5.53394889831543,0.768873929977417,0.8535001277923584,0.887499988079071,T4 GPU
8,CNN,128,1,16200,5.557488441467285,0.7451016902923584,0.9630410671234131,0.9352999925613403,T4 GPU
9,RNN,128,1,16800,12.564613342285156,0.7812380790710449,2.095641613006592,0.7254999876022339,T4 GPU
10,FNN,128,1,16800,6.245549201965332,0.631281852722168,0.8935651779174805,0.8858000040054321,T4 GPU
11,CNN,128,1,16800,6.261836767196655,0.7656030654907227,1.0050780773162842,0.942799985408783,T4 GPU
12,RNN,128,1,17400,12.528398275375366,0.7700545787811279,2.0925934314727783,0.715499997138977,T4 GPU
13,FNN,128,1,17400,5.487253665924072,0.6344945430755615,1.326439380645752,0.8848000168800354,T4 GPU
14,CNN,128,1,17400,5.737954378128052,1.4206488132476807,1.34981369972229,0.9437000155448914,T4 GPU
15,RNN,128,1,18000,9.662869930267334,1.4196135997772217,2.6206917762756348,0.7408999800682068,T4 GPU
16,FNN,128,1,18000,5.926492691040039,0.7799937725067139,1.3426644802093506,0.8937000036239624,T4 GPU
17,CNN,128,1,18000,6.315595626831055,0.7922408580780029,0.9721710681915283,0.9405999779701233,T4 GPU
18,RNN,128,1,18600,12.53070330619812,1.427739143371582,2.072948932647705,0.7911999821662903,T4 GPU
19,FNN,128,1,18600,6.665436744689941,0.7029902935028076,1.3543586730957031,0.892799973487854,T4 GPU
20,CNN,128,1,18600,11.406409502029419,1.4231884479522705,0.9801368713378906,0.9465000033378601,T4 GPU
21,RNN,128,1,19200,5.682764291763306,0.9634852409362793,2.632675886154175,0.8341000080108643,T4 GPU
22,FNN,128,1,19200,4.09590482711792,0.6796422004699707,1.3553569316864014,0.8809000253677368,T4 GPU
23,CNN,128,1,19200,3.558673143386841,1.4339244365692139,1.3512511253356934,0.9409999847412109,T4 GPU
24,RNN,128,1,19800,9.971605777740479,0.8530943393707275,2.0972917079925537,0.7907999753952026,T4 GPU
25,FNN,128,1,19800,5.699736833572388,0.7992758750915527,0.8750195503234863,0.8650000095367432,T4 GPU
26,CNN,128,1,19800,6.324087142944336,0.8663713932037354,2.631117582321167,0.9470000267028809,T4 GPU
27,RNN,128,1,20400,9.67853045463562,1.4375522136688232,2.6451210975646973,0.7283999919891357,T4 GPU
28,FNN,128,1,20400,6.280168056488037,0.7988951206207275,0.8868250846862793,0.8977000117301941,T4 GPU
29,CNN,128,1,20400,6.305733680725098,0.864814043045044,1.3758749961853027,0.9463000297546387,T4 GPU
30,RNN,128,1,21000,8.160077571868896,0.9035999774932861,2.6360199451446533,0.769599974155426,T4 GPU
31,FNN,128,1,21000,6.979511022567749,0.7541899681091309,0.8629708290100098,0.8944000005722046,T4 GPU
32,CNN,128,1,21000,6.3118736743927,1.1599829196929932,1.3298113346099854,0.9483000040054321,T4 GPU
33,RNN,128,1,21600,8.14803147315979,0.9225125312805176,5.2267701625823975,0.7257000207901001,T4 GPU
34,FNN,128,1,21600,5.004138946533203,1.493093490600586,1.3617706298828125,0.8953999876976013,T4 GPU
35,CNN,128,1,21600,6.296693801879883,1.504045009613037,1.3308815956115723,0.9480000138282776,T4 GPU
36,RNN,128,1,22200,12.607000589370728,0.9275832176208496,2.607417345046997,0.7317000031471252,T4 GPU
37,FNN,128,1,22200,5.552250385284424,0.8073322772979736,0.8709039688110352,0.8745999932289124,T4 GPU
38,CNN,128,1,22200,6.327525615692139,0.9158542156219482,1.3289518356323242,0.9485999941825867,T4 GPU
39,RNN,128,1,22800,12.550669431686401,1.4576563835144043,2.096935749053955,0.85589998960495,T4 GPU
40,FNN,128,1,22800,6.657586574554443,0.8020846843719482,1.3334112167358398,0.88919997215271,T4 GPU
41,CNN,128,1,22800,11.409386396408081,1.5253689289093018,2.629883289337158,0.9488999843597412,T4 GPU
42,RNN,128,1,23400,8.432284832000732,1.0006122589111328,2.2045555114746094,0.8533999919891357,T4 GPU
43,FNN,128,1,23400,4.909230709075928,1.5084409713745117,1.3434650897979736,0.9023000001907349,T4 GPU
44,CNN,128,1,23400,5.95711874961853,1.4657106399536133,1.3405663967132568,0.9535999894142151,T4 GPU
45,RNN,128,1,24000,13.05422306060791,1.0789148807525635,2.61570405960083,0.8371999859809875,T4 GPU
46,FNN,128,1,24000,5.803560256958008,1.4537677764892578,1.3333477973937988,0.8912000060081482,T4 GPU
47,CNN,128,1,24000,5.920023679733276,1.4582931995391846,0.9628455638885498,0.9531999826431274,T4 GPU
48,RNN,128,1,24600,9.805226802825928,1.4567008018493652,2.099055767059326,0.863099992275238,T4 GPU
49,FNN,128,1,24600,6.280637741088867,1.454362154006958,1.3605480194091797,0.8907999992370605,T4 GPU
50,CNN,128,1,24600,6.290595531463623,0.9993469715118408,0.9578099250793457,0.9524000287055969,T4 GPU
51,RNN,128,1,25200,12.614477634429932,1.4624412059783936,2.6344962120056152,0.8303999900817871,T4 GPU
52,FNN,128,1,25200,6.7052013874053955,1.4663493633270264,1.328061819076538,0.8986999988555908,T4 GPU
53,CNN,128,1,25200,7.486706018447876,1.4624266624450684,1.3626911640167236,0.9569000005722046,T4 GPU
54,RNN,128,1,25800,13.198237895965576,1.1427648067474365,2.115546464920044,0.7384999990463257,T4 GPU
55,FNN,128,1,25800,5.0235068798065186,1.1238293647766113,1.327375888824463,0.8974000215530396,T4 GPU
56,CNN,128,1,25800,6.3700151443481445,1.470644235610962,0.9489057064056396,0.9555000066757202,T4 GPU
57,RNN,128,1,26400,9.051578521728516,1.4764506816864014,5.170502424240112,0.8172000050544739,T4 GPU
58,FNN,128,1,26400,4.990124225616455,0.9797120094299316,1.3481595516204834,0.899399995803833,T4 GPU
59,CNN,128,1,26400,6.318455219268799,1.1891987323760986,0.9566161632537842,0.9532999992370605,T4 GPU
60,RNN,128,1,27000,13.070383310317993,1.473043441772461,2.0692028999328613,0.786899983882904,T4 GPU
61,FNN,128,1,27000,5.2887122631073,1.480452060699463,1.3527138233184814,0.8992000222206116,T4 GPU
62,CNN,128,1,27000,6.364530086517334,1.485295295715332,1.3400020599365234,0.9574000239372253,T4 GPU
63,RNN,128,1,27600,12.582093954086304,1.207679271697998,2.108444929122925,0.823199987411499,T4 GPU
64,FNN,128,1,27600,6.351939916610718,0.9717724323272705,1.3510627746582031,0.8737999796867371,T4 GPU
65,CNN,128,1,27600,11.512269735336304,1.0968925952911377,0.9731645584106445,0.9563999772071838,T4 GPU
66,RNN,128,1,28200,13.314185619354248,1.1858654022216797,2.203970432281494,0.8379999995231628,T4 GPU
67,FNN,128,1,28200,6.422924757003784,1.4882409572601318,0.8816854953765869,0.9053000211715698,T4 GPU
68,CNN,128,1,28200,6.37792706489563,1.5103440284729004,1.3564708232879639,0.9567000269889832,T4 GPU
69,RNN,128,1,28800,10.04709506034851,1.1692116260528564,2.1110284328460693,0.805899977684021,T4 GPU
70,FNN,128,1,28800,5.948100566864014,0.9737246036529541,0.8451540470123291,0.9075999855995178,T4 GPU
71,CNN,128,1,28800,6.348326683044434,1.5025873184204102,1.3666954040527344,0.9609000086784363,T4 GPU
72,RNN,128,1,29400,12.6622896194458,1.25472092628479,2.611297845840454,0.7828999757766724,T4 GPU
73,FNN,128,1,29400,5.974649429321289,1.5088653564453125,0.8706824779510498,0.9035999774932861,T4 GPU
74,CNN,128,1,29400,11.492876052856445,1.2048490047454834,0.9939403533935547,0.9575999975204468,T4 GPU
75,RNN,128,1,30000,9.300173997879028,1.4883384704589844,2.6331324577331543,0.8075000047683716,T4 GPU
76,FNN,128,1,30000,5.19912052154541,1.0143494606018066,0.9069764614105225,0.9050999879837036,T4 GPU
