,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,2.9524567127227783,0.7831389904022217,0.9320447444915771,0.6435999870300293,Aleks2
1,FNN,128,1,15000,1.6060678958892822,0.9032135009765625,0.47715187072753906,0.8655999898910522,Aleks2
2,CNN,128,1,15000,2.090441942214966,1.1909241676330566,0.5000402927398682,0.9351999759674072,Aleks2
3,RNN,128,1,15600,2.5679006576538086,0.6708700656890869,0.7365865707397461,0.7505000233650208,Aleks2
4,FNN,128,1,15600,1.853801965713501,0.9846370220184326,0.8222160339355469,0.8852999806404114,Aleks2
5,CNN,128,1,15600,2.193913221359253,1.449331521987915,0.8798961639404297,0.9337999820709229,Aleks2
6,RNN,128,1,16200,3.313852548599243,1.1921346187591553,1.2981843948364258,0.7439000010490417,Aleks2
7,FNN,128,1,16200,2.2587087154388428,1.1652185916900635,0.45088934898376465,0.8895000219345093,Aleks2
8,CNN,128,1,16200,1.9264657497406006,1.3338871002197266,0.6838128566741943,0.9380999803543091,Aleks2
9,RNN,128,1,16800,2.2579150199890137,0.9425334930419922,0.9346952438354492,0.7236999869346619,Aleks2
10,FNN,128,1,16800,1.6083920001983643,1.0004305839538574,0.5844719409942627,0.8844000101089478,Aleks2
11,CNN,128,1,16800,2.1082053184509277,1.5018446445465088,0.8523030281066895,0.9354000091552734,Aleks2
12,RNN,128,1,17400,2.4212872982025146,0.9047341346740723,1.5001490116119385,0.6022999882698059,Aleks2
13,FNN,128,1,17400,1.7944936752319336,1.1146273612976074,0.5945191383361816,0.8939999938011169,Aleks2
14,CNN,128,1,17400,2.076465368270874,1.344287395477295,0.5766606330871582,0.9416999816894531,Aleks2
15,RNN,128,1,18000,2.3464086055755615,0.9707119464874268,0.8087377548217773,0.7458999752998352,Aleks2
16,FNN,128,1,18000,1.6739816665649414,1.0547704696655273,0.4792194366455078,0.8973000049591064,Aleks2
17,CNN,128,1,18000,2.1113359928131104,1.4140563011169434,0.709930419921875,0.9455999732017517,Aleks2
18,RNN,128,1,18600,2.5121817588806152,0.832859992980957,1.211061716079712,0.8029000163078308,Aleks2
19,FNN,128,1,18600,1.803772211074829,0.9848506450653076,0.4288334846496582,0.8925999999046326,Aleks2
20,CNN,128,1,18600,2.5711734294891357,1.4386975765228271,0.5083765983581543,0.9449999928474426,Aleks2
21,RNN,128,1,19200,2.1874053478240967,0.7007181644439697,1.3675591945648193,0.7764999866485596,Aleks2
22,FNN,128,1,19200,1.7306349277496338,1.0750877857208252,0.3943660259246826,0.892799973487854,Aleks2
23,CNN,128,1,19200,2.3663158416748047,1.5432922840118408,0.6015572547912598,0.9447000026702881,Aleks2
24,RNN,128,1,19800,2.972661256790161,1.090155839920044,1.380176067352295,0.8342999815940857,Aleks2
25,FNN,128,1,19800,1.8326208591461182,1.1378910541534424,0.7242381572723389,0.8977000117301941,Aleks2
26,CNN,128,1,19800,2.328648090362549,1.5192084312438965,0.605640172958374,0.942799985408783,Aleks2
27,RNN,128,1,20400,2.4175333976745605,0.697263240814209,0.7451882362365723,0.715399980545044,Aleks2
28,FNN,128,1,20400,1.7687838077545166,1.0680413246154785,0.47287821769714355,0.8988999724388123,Aleks2
29,CNN,128,1,20400,2.9673938751220703,1.5792789459228516,0.546250581741333,0.9437000155448914,Aleks2
30,RNN,128,1,21000,2.7073373794555664,0.9885549545288086,0.8952407836914062,0.7738000154495239,Aleks2
31,FNN,128,1,21000,1.8591845035552979,1.14198899269104,0.47694873809814453,0.8823999762535095,Aleks2
32,CNN,128,1,21000,2.2906501293182373,1.7063093185424805,0.596111536026001,0.9524999856948853,Aleks2
33,RNN,128,1,21600,2.5451254844665527,0.8058292865753174,0.7582685947418213,0.7197999954223633,Aleks2
34,FNN,128,1,21600,1.9558744430541992,1.1670188903808594,0.5197241306304932,0.899399995803833,Aleks2
35,CNN,128,1,21600,2.340700626373291,1.8216052055358887,0.734656572341919,0.9447000026702881,Aleks2
36,RNN,128,1,22200,2.7352616786956787,1.2230522632598877,0.9527668952941895,0.7623000144958496,Aleks2
37,FNN,128,1,22200,1.9316627979278564,1.2635140419006348,0.5632860660552979,0.8999000191688538,Aleks2
38,CNN,128,1,22200,2.4314229488372803,1.9145002365112305,0.7871575355529785,0.95169997215271,Aleks2
39,RNN,128,1,22800,3.566429853439331,0.8205022811889648,0.7892584800720215,0.7057999968528748,Aleks2
40,FNN,128,1,22800,2.0332353115081787,1.353315830230713,0.5469269752502441,0.8991000056266785,Aleks2
41,CNN,128,1,22800,2.6068549156188965,1.8680741786956787,0.5348119735717773,0.9501000046730042,Aleks2
42,RNN,128,1,23400,2.8408915996551514,0.8828873634338379,0.7927746772766113,0.8288999795913696,Aleks2
43,FNN,128,1,23400,2.0729010105133057,1.3667964935302734,0.5846123695373535,0.9034000039100647,Aleks2
44,CNN,128,1,23400,2.856895923614502,2.0899291038513184,0.628814697265625,0.9484000205993652,Aleks2
45,RNN,128,1,24000,2.316615343093872,0.8348078727722168,0.726125955581665,0.8047000169754028,Aleks2
46,FNN,128,1,24000,1.8969194889068604,1.1729257106781006,0.5573182106018066,0.8988999724388123,Aleks2
47,CNN,128,1,24000,2.4065163135528564,1.9037580490112305,0.5156810283660889,0.9560999870300293,Aleks2
48,RNN,128,1,24600,2.3942487239837646,0.865992546081543,0.9727485179901123,0.8373000025749207,Aleks2
49,FNN,128,1,24600,1.9176521301269531,1.3284809589385986,0.5272016525268555,0.9077000021934509,Aleks2
50,CNN,128,1,24600,3.6484625339508057,2.1440744400024414,0.7742493152618408,0.9510999917984009,Aleks2
51,RNN,128,1,25200,2.9313480854034424,1.1635727882385254,0.8855412006378174,0.805400013923645,Aleks2
52,FNN,128,1,25200,2.1866354942321777,1.6022515296936035,0.4680347442626953,0.8934000134468079,Aleks2
53,CNN,128,1,25200,2.637449026107788,2.1213769912719727,0.6161403656005859,0.9539999961853027,Aleks2
54,RNN,128,1,25800,2.5278985500335693,1.002119779586792,0.8295087814331055,0.819100022315979,Aleks2
55,FNN,128,1,25800,1.9858908653259277,1.4060478210449219,0.6518738269805908,0.8982999920845032,Aleks2
56,CNN,128,1,25800,3.0734610557556152,2.196272373199463,0.6477639675140381,0.9559999704360962,Aleks2
57,RNN,128,1,26400,3.374955415725708,1.2541077136993408,1.0096800327301025,0.7610999941825867,Aleks2
58,FNN,128,1,26400,2.237210988998413,1.6204414367675781,0.5280129909515381,0.9081000089645386,Aleks2
59,CNN,128,1,26400,2.8607606887817383,2.113757848739624,0.6685826778411865,0.9567000269889832,Aleks2
60,RNN,128,1,27000,2.7010018825531006,1.0826432704925537,0.8944485187530518,0.7960000038146973,Aleks2
61,FNN,128,1,27000,2.1175754070281982,1.7011146545410156,0.5901622772216797,0.9025999903678894,Aleks2
62,CNN,128,1,27000,3.1909186840057373,2.2604386806488037,0.5100545883178711,0.9556000232696533,Aleks2
63,RNN,128,1,27600,3.9841272830963135,1.1820528507232666,0.7545766830444336,0.7555999755859375,Aleks2
64,FNN,128,1,27600,2.286868095397949,1.649871587753296,0.5712225437164307,0.9057000279426575,Aleks2
65,CNN,128,1,27600,2.991539716720581,2.4405338764190674,0.7496364116668701,0.9562000036239624,Aleks2
66,RNN,128,1,28200,3.1366636753082275,1.5718097686767578,0.9157390594482422,0.7886000275611877,Aleks2
