,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,4.67804479598999,0.9727964401245117,1.9195549488067627,0.7800999879837036,Philippa
1,FNN,128,1,15000,4.312914848327637,2.8917508125305176,0.8951272964477539,0.8802000284194946,Philippa
2,CNN,128,1,15000,4.943910360336304,3.4973840713500977,1.1800594329833984,0.9218999743461609,Philippa
3,RNN,128,1,15600,3.8066213130950928,1.0222969055175781,1.3101308345794678,0.718999981880188,Philippa
4,FNN,128,1,15600,4.1511476039886475,3.3984780311584473,0.9287033081054688,0.8903999924659729,Philippa
5,CNN,128,1,15600,4.85228419303894,3.5377533435821533,1.2654552459716797,0.9311000108718872,Philippa
6,RNN,128,1,16200,3.632012128829956,1.0415303707122803,1.2780909538269043,0.7468000054359436,Philippa
7,FNN,128,1,16200,4.304348707199097,2.9988327026367188,0.9016385078430176,0.8833000063896179,Philippa
8,CNN,128,1,16200,4.862689256668091,4.1936609745025635,1.5394010543823242,0.9380999803543091,Philippa
9,RNN,128,1,16800,3.777691125869751,1.0712370872497559,1.284672498703003,0.7426000237464905,Philippa
10,FNN,128,1,16800,4.680907964706421,3.17907977104187,0.9194109439849854,0.8888999819755554,Philippa
11,CNN,128,1,16800,5.38316011428833,3.8401174545288086,1.2682342529296875,0.9401000142097473,Philippa
12,RNN,128,1,17400,4.244250535964966,1.184751272201538,1.3338110446929932,0.7825000286102295,Philippa
13,FNN,128,1,17400,4.629124879837036,3.284031629562378,0.9277067184448242,0.8840000033378601,Philippa
14,CNN,128,1,17400,5.094128847122192,4.079965591430664,1.2450668811798096,0.9383000135421753,Philippa
15,RNN,128,1,18000,4.161981105804443,1.1460952758789062,1.3030381202697754,0.6855000257492065,Philippa
16,FNN,128,1,18000,4.9912269115448,4.013744115829468,0.8963148593902588,0.9021000266075134,Philippa
17,CNN,128,1,18000,8.81491756439209,4.286915302276611,1.2589898109436035,0.9416999816894531,Philippa
18,RNN,128,1,18600,9.77711296081543,1.6331326961517334,1.7849011421203613,0.8192999958992004,Philippa
19,FNN,128,1,18600,6.419803857803345,4.15031623840332,1.296924114227295,0.8956000208854675,Philippa
20,CNN,128,1,18600,6.898083209991455,4.373876571655273,1.269864797592163,0.9423999786376953,Philippa
21,RNN,128,1,19200,3.7899320125579834,1.2592473030090332,1.3859636783599854,0.7559999823570251,Philippa
22,FNN,128,1,19200,4.882492303848267,3.626096248626709,0.8998162746429443,0.8903999924659729,Philippa
23,CNN,128,1,19200,5.538083553314209,4.324262380599976,1.2556724548339844,0.9476000070571899,Philippa
