,model,batch_size,epochs,dataset_size,time_to_train,time_to_retrain,time_to_predict,accuracy,name
0,RNN,128,1,15000,4.368698835372925,1.2329776287078857,1.358492374420166,0.7279999852180481,v2-8TPU
1,FNN,128,1,15000,6.354794025421143,4.010243654251099,0.9999992847442627,0.8777999877929688,v2-8TPU
2,CNN,128,1,15000,10.0042245388031,8.027535915374756,1.7319879531860352,0.927299976348877,v2-8TPU
3,RNN,128,1,15600,3.925560474395752,1.2519986629486084,1.4185600280761719,0.7077999711036682,v2-8TPU
4,FNN,128,1,15600,5.578568935394287,3.8379595279693604,0.9895756244659424,0.8916000127792358,v2-8TPU
5,CNN,128,1,15600,9.912803888320923,7.776095390319824,1.747077226638794,0.9363999962806702,v2-8TPU
6,RNN,128,1,16200,3.949056625366211,1.3178939819335938,1.3450837135314941,0.7337999939918518,v2-8TPU
7,FNN,128,1,16200,6.31199836730957,4.302882432937622,1.0943069458007812,0.829200029373169,v2-8TPU
8,CNN,128,1,16200,10.05825400352478,8.166780233383179,1.7813444137573242,0.9366999864578247,v2-8TPU
9,RNN,128,1,16800,4.0077221393585205,1.321577548980713,1.4144012928009033,0.6559000015258789,v2-8TPU
10,FNN,128,1,16800,5.975141525268555,4.297156810760498,1.0089647769927979,0.8878999948501587,v2-8TPU
11,CNN,128,1,16800,10.501525163650513,8.297086715698242,1.7516169548034668,0.9380999803543091,v2-8TPU
12,RNN,128,1,17400,4.0882728099823,1.4037225246429443,1.3491401672363281,0.7544999718666077,v2-8TPU
13,FNN,128,1,17400,6.249086141586304,4.362893581390381,0.9969761371612549,0.8939999938011169,v2-8TPU
14,CNN,128,1,17400,11.371060609817505,8.84290075302124,1.739027976989746,0.942799985408783,v2-8TPU
15,RNN,128,1,18000,4.112542629241943,1.440891981124878,1.382218599319458,0.675000011920929,v2-8TPU
16,FNN,128,1,18000,6.450641870498657,4.460352659225464,1.0009188652038574,0.8899000287055969,v2-8TPU
17,CNN,128,1,18000,10.772320747375488,9.57893681526184,1.7389965057373047,0.942300021648407,v2-8TPU
18,RNN,128,1,18600,4.110342741012573,1.4668924808502197,1.3414852619171143,0.727400004863739,v2-8TPU
19,FNN,128,1,18600,6.407763242721558,4.727906703948975,1.001814365386963,0.8938999772071838,v2-8TPU
20,CNN,128,1,18600,10.941186428070068,9.24696135520935,1.8106307983398438,0.9391000270843506,v2-8TPU
21,RNN,128,1,19200,4.361389875411987,1.4837801456451416,1.4460983276367188,0.7576000094413757,v2-8TPU
22,FNN,128,1,19200,6.494213342666626,4.729021310806274,1.0390732288360596,0.8948000073432922,v2-8TPU
23,CNN,128,1,19200,11.559043407440186,9.796410083770752,1.8033499717712402,0.9460999965667725,v2-8TPU
24,RNN,128,1,19800,4.118216037750244,1.559408187866211,1.3599560260772705,0.7764000296592712,v2-8TPU
25,FNN,128,1,19800,6.961843252182007,4.956527233123779,0.9838199615478516,0.8798999786376953,v2-8TPU
26,CNN,128,1,19800,11.764721155166626,9.81025218963623,1.724189281463623,0.9390000104904175,v2-8TPU
27,RNN,128,1,20400,4.174882411956787,1.6008532047271729,1.393298864364624,0.7423999905586243,v2-8TPU
28,FNN,128,1,20400,6.710425138473511,4.991411924362183,1.0012853145599365,0.9031999707221985,v2-8TPU
29,CNN,128,1,20400,12.242684364318848,10.571855783462524,1.9325695037841797,0.9491000175476074,v2-8TPU
30,RNN,128,1,21000,5.2001426219940186,1.6266651153564453,1.4489688873291016,0.7709000110626221,v2-8TPU
31,FNN,128,1,21000,6.8656134605407715,5.0545334815979,0.9900462627410889,0.8977000117301941,v2-8TPU
